COURSE,STARTDATE,ENDDATE,STARTTIME
MPKB,10/30/2013,12/18/2013,12:00 PM
MPKB,10/31/2013,12/19/2013,10:00 AM
TTA,10/30/2013,12/11/2013,08:00 AM
TTA,10/31/2013,12/12/2013,14:00 PM
Machine Learning and Neural Networks,10/29/2013,12/10/2013,08:00 AM
Machine Learning and Neural Networks,10/30/2013,12/11/2013,08:00 AM
Multiplayer Computer Games,10/29/2013,12/10/2013,10:00 AM
Multiplayer Computer Games,10/30/2013,12/11/2013,10:00 AM
Algorithms in Bioinformatics,10/29/2013,12/10/2013,12:00 PM
Algorithms in Bioinformatics,11/01/2013,12/13/2013,14:00 PM
